iter	Passed	Remaining
0	266	266707
1	268	134102
2	270	89838
3	271	67707
4	274	54698
5	277	46023
6	279	39693
7	281	34927
8	283	31222
9	285	28262
10	294	26475
11	296	24417
12	298	22663
13	300	21157
14	305	20075
15	307	18910
16	309	17873
17	310	16952
18	312	16124
19	313	15382
20	315	14711
21	320	14259
22	322	13704
23	324	13204
24	326	12733
25	329	12329
26	334	12071
27	336	11696
28	339	11355
29	341	11034
30	342	10716
31	344	10431
32	378	11097
33	381	10830
34	383	10564
35	384	10308
36	386	10062
37	388	9829
38	390	9634
39	397	9550
40	400	9358
41	402	9175
42	403	8986
43	405	8809
44	409	8688
45	411	8529
46	412	8373
47	414	8225
48	416	8080
49	417	7938
50	419	7802
51	422	7709
52	424	7586
53	425	7461
54	427	7344
55	428	7228
56	430	7115
57	431	7012
58	433	6908
59	438	6869
60	439	6772
61	441	6675
62	442	6582
63	443	6491
64	445	6404
65	446	6321
66	447	6237
67	452	6199
68	453	6121
69	454	6043
70	456	5972
71	457	5900
72	459	5831
73	460	5762
74	461	5695
75	463	5631
76	465	5581
77	467	5523
78	469	5469
79	470	5410
80	471	5352
81	472	5294
82	473	5231
83	474	5178
84	477	5145
85	479	5097
86	480	5046
87	482	4997
88	483	4948
89	484	4900
90	485	4853
91	487	4809
92	488	4765
93	490	4723
94	493	4697
95	494	4658
96	495	4616
97	496	4573
98	497	4532
99	499	4491
100	500	4452
101	501	4414
102	502	4375
103	503	4337
104	504	4300
105	507	4278
106	508	4247
107	510	4212
108	511	4177
109	512	4143
110	513	4110
111	514	4077
112	515	4044
113	516	4014
114	517	3983
115	518	3952
116	519	3921
117	522	3905
118	523	3877
119	524	3848
120	525	3820
121	526	3790
122	527	3763
123	528	3736
124	529	3709
125	531	3684
126	532	3657
127	533	3631
128	536	3619
129	537	3598
130	538	3574
131	539	3550
132	540	3526
133	541	3502
134	543	3479
135	544	3462
136	546	3440
137	547	3419
138	550	3409
139	553	3400
140	555	3383
141	558	3371
142	559	3355
143	561	3338
144	563	3322
145	566	3315
146	568	3299
147	571	3288
148	573	3274
149	574	3257
150	576	3242
151	580	3238
152	582	3224
153	584	3210
154	586	3194
155	588	3183
156	589	3167
157	599	3196
158	601	3183
159	604	3174
160	607	3166
161	610	3155
162	612	3145
163	614	3132
164	616	3119
165	618	3106
166	619	3091
167	624	3090
168	625	3077
169	627	3064
170	629	3053
171	631	3040
172	633	3029
173	641	3047
174	643	3035
175	646	3026
176	647	3011
177	649	2998
178	652	2994
179	656	2988
